date,exp,wash,garment,band,sample,Before transfer,After transfer,value
20230808,MP,W019,G3,3,B,0,8,8
20230808,MP,W019,G3,4,B,0,6,6
20230808,MP,W019,G3,5,B,0,8,8
20230808,MP,W019,G3,6,B,0,4,4
20230808,MP,W019,G3,7,B,0,4,4
20230808,MP,W019,G3,8,B,1,6,5
20230808,MP,W019,G3,9,B,0,7,7
20230911,MP,W020,G1,10,B,0,4,4
20230911,MP,W020,G1,1,B,4,2,-2
20230911,MP,W020,G1,2,B,0,6,6
20230911,MP,W020,G1,3,B,0,4,4
20230911,MP,W020,G1,4,B,2,2,0
20230911,MP,W020,G1,5,B,0,4,4
20230911,MP,W020,G1,6,B,0,4,4
20230911,MP,W020,G1,7,B,2,12,10
20230911,MP,W020,G1,8,B,1,8,7
20230911,MP,W020,G1,9,B,0,5,5
20230911,MP,W020,G2,10,B,0,4,4
20230911,MP,W020,G2,1,B,0,3,3
20230911,MP,W020,G2,2,B,1,5,4
20230911,MP,W020,G2,3,B,0,3,3
20230911,MP,W020,G2,4,B,0,4,4
20230911,MP,W020,G2,5,B,0,3,3
20230911,MP,W020,G2,6,B,0,7,7
20230911,MP,W020,G2,7,B,0,8,8
20230911,MP,W020,G2,8,B,1,1,0
20230911,MP,W020,G2,9,B,2,7,5
20230911,MP,W020,G3,10,B,0,2,2
20230911,MP,W020,G3,1,B,0,7,7
20230911,MP,W020,G3,2,B,0,4,4
20230911,MP,W020,G3,3,B,0,2,2
20230911,MP,W020,G3,4,B,1,7,6
20230911,MP,W020,G3,5,B,3,6,3
20230911,MP,W020,G3,6,B,0,5,5
20230911,MP,W020,G3,7,B,0,4,4
20230911,MP,W020,G3,8,B,1,8,7
20230911,MP,W020,G3,9,B,0,4,4
20230913,MP,W021,G1,10,B,0,12,12
20230913,MP,W021,G1,1,B,0,4,4
20230913,MP,W021,G1,2,B,0,4,4
20230913,MP,W021,G1,3,B,0,3,3
20230913,MP,W021,G1,4,B,1,2,1
20230913,MP,W021,G1,5,B,1,6,5
20230913,MP,W021,G1,6,B,0,9,9
20230913,MP,W021,G1,7,B,1,2,1
20230913,MP,W021,G1,8,B,0,4,4
20230913,MP,W021,G1,9,B,0,7,7
20230913,MP,W021,G2,10,B,1,9,8
20230913,MP,W021,G2,1,B,0,2,2
20230913,MP,W021,G2,2,B,2,7,5
20230913,MP,W021,G2,3,B,0,4,4
20230913,MP,W021,G2,4,B,0,16,16
20230913,MP,W021,G2,5,B,0,4,4
20230913,MP,W021,G2,6,B,2,8,6
20230913,MP,W021,G2,7,B,0,6,6
20230913,MP,W021,G2,8,B,1,10,9
20230913,MP,W021,G2,9,B,1,7,6
20230913,MP,W021,G3,10,B,0,8,8
20230913,MP,W021,G3,1,B,1,10,9
20230913,MP,W021,G3,2,B,0,3,3
20230913,MP,W021,G3,3,B,0,7,7
20230913,MP,W021,G3,4,B,0,8,8
20230913,MP,W021,G3,5,B,1,2,1
20230913,MP,W021,G3,6,B,1,5,4
20230913,MP,W021,G3,7,B,0,8,8
20230913,MP,W021,G3,8,B,0,3,3
20230913,MP,W021,G3,9,B,1,9,8
20230918,MP,W022,G1,10,B,0,6,6
20230918,MP,W022,G1,1,B,0,2,2
