Slice,Count,Total Area,Average Size,%Area,Circ.,Solidity,
G14_F1_R1_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C5_B.TIF,1,0.006,0.006,0.005,0.242,0.645,
G14_F1_R1_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R1_C8_B.TIF,2,0.043,0.021,0.035,0.105,0.23,
G14_F1_R1_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C1_B.TIF,1,0.036,0.036,0.03,0.091,0.244,
G14_F1_R2_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R2_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C10_B.TIF,1,0.007,0.007,0.008,0.425,0.698,
G14_F1_R3_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C8_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R3_C9_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C10_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C1_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C2_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C3_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C4_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C5_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C6_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C7_B.TIF,0,0,NaN,0,NaN,NaN,
G14_F1_R4_C8_B.TIF,0,0,NaN,0,NaN,NaN,
