Slice,Count,Total Area,Average Size,%Area,Mean
G15_F2_R6_C4_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R6_C5_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R6_C6_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R6_C7_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R6_C8_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R6_C9_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C10_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C1_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C2_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C3_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C4_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C5_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C6_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C7_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C8_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R7_C9_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C10_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C1_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C2_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C3_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C4_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C5_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C6_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C7_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C8_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R8_C9_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C10_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C1_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C2_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C3_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C4_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C5_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C6_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C7_B.TIF,0,0.000,NaN,0.000,NaN
G15_F2_R9_C8_B.TIF,0,0.000,NaN,0.000,NaN
