Slice,Count,Total Area,Average Size,%Area,Mean,,
G1_F1_R9_C6_AW.TIF,4,0.118,0.029,0.097,1.802,0.165,0.366
G1_F1_R9_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R9_C7_AW.TIF,5,0.093,0.019,0.077,1.314,0.177,0.416
G1_F1_R9_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F1_R9_C8_AW.TIF,1,0.035,0.035,0.029,2.446,0.074,0.223
G1_F1_R9_C8_B.TIF,1,0.006,0.006,0.005,0.343,0.66,0.902
G1_F1_R9_C9_AW.TIF,7,0.193,0.028,0.159,1.672,0.152,0.339
G1_F1_R9_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C1_AW.TIF,4,0.046,0.011,0.038,0.872,0.2,0.425
G1_F2_R1_C1_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C10_AW.TIF,1,0.05,0.05,0.041,2.66,0.089,0.226
G1_F2_R1_C10_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C2_AW.TIF,3,0.114,0.038,0.094,1.983,0.122,0.372
G1_F2_R1_C2_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C3_AW.TIF,4,0.283,0.071,0.233,3.308,0.164,0.374
G1_F2_R1_C3_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C4_AW.TIF,5,0.148,0.03,0.122,1.631,0.274,0.508
G1_F2_R1_C4_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C5_AW.TIF,2,0.014,0.007,0.012,0.404,0.567,0.794
G1_F2_R1_C5_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C6_AW.TIF,4,0.122,0.03,0.1,1.704,0.18,0.41
G1_F2_R1_C6_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C7_AW.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C7_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R1_C8_AW.TIF,2,0.016,0.008,0.013,0.451,0.513,0.782
G1_F2_R1_C8_B.TIF,1,0.007,0.007,0.006,0.646,0.209,0.477
G1_F2_R1_C9_AW.TIF,7,0.229,0.033,0.188,1.916,0.145,0.435
G1_F2_R1_C9_B.TIF,0,0,NaN,0,NaN,NaN,NaN
G1_F2_R10_C1_AW.TIF,2,0.118,0.059,0.668,2.561,0.135,0.309
G1_F2_R10_C1_B.TIF,1,0.006,0.006,0.005,0.54,0.273,0.539
